iata	icao	airline	callsign	country	comments	active
J7	CVC	Centre-Avia	AVIACENTRE	Russia		1
WE	CWC	Centurion Air Cargo	CHALLENGE CARGO	United States		1
OP	CHK	Chalk's International Airlines	CHALKS	United States		1
MG	CCP	Champion Air	CHAMPION AIR	United States		1
2Z	CGN	Chang An Airlines	CHANGAN	China		1
S8	CSU	Chari Aviation Services	CHARI SERVICE	Chad		1
RP	CHQ	Chautauqua Airlines	CHAUTAUQUA	United States	Was US*	1
C8	WDY	Chicago Express Airlines	WINDY CITY	United States	defunct	0
CI	CAL	China Airlines	DYNASTY	Taiwan		1
CK	CKK	China Cargo Airlines	CARGO KING	China		1
MU	CES	China Eastern Airlines	CHINA EASTERN	China		1
G5	HXA	China Express Airlines	CHINA EXPRESS	China		1
CJ	CBF	China Northern Airlines	CHINA NORTHERN	China	defunct.	0
WH	CNW	China Northwest Airlines	CHINA NORTHWEST	China	defunct	0
8Y	CYZ	China Postal Airlines	CHINA POST	China		1
CZ	CSN	China Southern Airlines	CHINA SOUTHERN	China		1
KN	CUA	China United Airlines	LIANHANG	China		1
XO	CXH	China Xinhua Airlines	XINHUA	China		1
3Q	CYH	China Yunnan Airlines	YUNNAN	China	defunct	0
X7	CHF	Chitaavia	CHITA	Russia		1
A2	CIU	Cielos Airlines	CIELOS	Peru		1
QI	CIM	Cimber Sterling	CIMBER	Denmark		1
C7	CIN	Cinnamon Air	CINNAMON	Sri Lanka		1
C9	RUS	Cirrus Airlines	CIRRUS AIR	Germany	defunct	0
CF	SDR	City Airline	SWEDESTAR	Sweden		1
G3	CIX	City Connexion Airlines	CONNEXION	Burundi	defunct	0
WX	BCY	CityJet	CITY-IRELAND	Ireland		1
CJ	CFE	CityFlyer Express	FLYER	United Kingdom		1
CT	CAT	Civil Air Transport	Mandarin	Taiwan	defunct	0
6P	ISG	Club Air	CLUBAIR	Italy		1
BX	CST	Coast Air	COAST CENTER	Norway		1
9L	CJC	Colgan Air	COLGAN	United States		1
YD	CAT	Cologne Air Transport GmbH		Germany	defunct since 1996	0
OH	COM	Comair	COMAIR	United States		1
MN	CAW	Comair	COMMERCIAL	South Africa		1
C5	UCA	CommutAir	COMMUTAIR	United States		1
KR	CWK	Comores Airlines	CONTICOM	Comoros		1
GJ	MXC	Compania Mexicargo	MEXICARGO	Mexico		1
CP	CPZ	Compass Airlines	Compass	United States		1
DE	CFG	Condor Flugdienst	CONDOR	Germany		1
CO	COA	Continental Airlines	CONTINENTAL	United States	ICAO Code and callsign withdrawn	1
PC	PVV	Continental Airways	CONTAIR	Russia		1
CS	CMI	Continental Micronesia	AIR MIKE	United States		1
V0	VCV	Conviasa	CONVIASA	Venezuela		1
CM	CMP	Copa Airlines	COPA	Panama		1
CQ	CCW	Central Charter	CENTRAL CHARTER	Czech Republic		1
XC	CAI	Corendon Airlines	CORENDON	Turkey	Turistik Hava Tasimacilik	1
CD	CND	Corendon Dutch Airlines	DUTCH CORENDON	Netherlands		1
SS	CRL	Corsairfly	CORSAIR	France		1
XK	CCM	Corse Méditerranée	CORSICA	France	Name changed to Air Corsica	1
F5	COZ	Cosmic Air	COSMIC AIR	Nepal		1
7C	COY	Coyne Aviation	COYNE AIR	United Kingdom		1
OU	CTN	Croatia Airlines	CROATIA	Croatia		1
QE	ECC	Crossair Europe	Cigogne	Switzerland		1
CU	CUB	Cubana de Aviación	CUBANA	Cuba		1
CY	CYP	Cyprus Airways	CYPRUS	Cyprus		1
YK	KYV	Cyprus Turkish Airlines	AIRKIBRIS	Turkey	Ceased operations 2010	1
OK	CSA	Czech Airlines	CSA	Czech Republic		1
8L	CGP	Cargo Plus Aviation		United Arab Emirates		1
GJ	CDC	CDI Cargo Airlines	HUALONG	China		1
V5	VPA	DanubeWings	VIP TAXI	Slovakia	Former names VIP Air and VIP Wings	1
WD	DSR	DAS Air Cargo	DAIRAIR	Uganda		1
DX	DTR	DAT Danish Air Transport	DANISH	Denmark		1
ES	DHX	DHL International	DILMUN	Bahrain		1
L3	JOS	DHL de Guatemala		Guatemala		1
D3	DAO	Daallo Airlines	DALO AIRLINES	Djibouti		1
N2	DAG	Dagestan Airlines	DAGAL	Russia		1
H8	KHB	Dalavia	DALAVIA	Russia		1
0D	DWT	Darwin Airline	DARWIN	Switzerland		1
D5	DAU	Dauair	DAUAIR	Germany		1
DL	DAL	Delta Air Lines	DELTA	United States		1
J7	DNM	Denim Air	DENIM	Netherlands		1
1I	AMB	Deutsche Rettungsflugwacht	CIVIL AIR AMBULANCE	Germany		1
AW	DIR	Dirgantara Air Service	DIRGANTARA	Indonesia		1
DH	DVA	Discovery Airways	DISCOVERY AIRWAYS	United States		1
YU	ADM	Dominair	DOMINAIR	Dominican Republic	defunct; former IATA code: SS; former name: Aerolíneas Dominicanas, ICAO code no longer allocated	0
DO	DOA	Dominicana de Aviación	DOMINICANA	Dominican Republic	defunct	0
E3	DMO	Domodedovo Airlines	DOMODEDOVO	Russia	defunct	0
D9	DNV	Donavia	DONAVIA	Russia	formerly Aeroflot-Don	1
5D	UDC	DonbassAero	DONBASS AERO	Ukraine		1
KA	HDA	Dragonair, Hong Kong Dragon Airlines	DRAGON	Hong Kong		1
KB	DRK	Druk Air	ROYAL BHUTAN	Bhutan		1
DI	BAG	Dba	SPEEDWAY	Germany	Merged into Air Berlin	0
9A	EZX	Eagle Express Air Charter	EAGLEXPRESS	Malaysia		1
VE	EUJ	EUjet	UNION JET	Ireland	defunct	0
BR	EVA	EVA Air	EVA	Taiwan		1
EY	EFL	Eagle Air	FLYING EAGLE	Tanzania		1
H7	EGU	Eagle Air	AFRICAN EAGLE	Uganda		1
NZ	EAG	Eagle Airways	EAGLE	New Zealand		1
QU	UTN	UTair-Ukraine	UT Ukraine	Ukraine		1
S9	HSA	East African Safari Air	DUMA	Kenya		1
ZE	ESR	Eastar Jet	EASTAR	South Korea		1
EA	EAL	Eastern Air Lines	EASTERN	United States	defunct	0
T3	EZE	Eastern Airways	EASTFLIGHT	United Kingdom		1
QF	EAQ	Eastern Australia Airlines	EASTERN	Australia	IATA dupe with parent QANTAS. Also uses 2 letter ICAO EA.	1
DK	ELA	Eastland Air		Australia		1
W9	SGR	Eastwind Airlines	STINGER	United States	defunct	0
WK	EDW	Edelweiss Air	EDELWEISS	Switzerland		1
MS	MSR	Egyptair	EGYPTAIR	Egypt		1
LY	ELY	El Al Israel Airlines	ELAL	Israel		1
UZ	BRQ	El-Buraq Air Transport	BURAQAIR	Libya		1
EK	UAE	Emirates Airline	EMIRATES	United Arab Emirates		1
EM	CFS	Empire Airlines	EMPIRE AIR	United States		1
EU	EEA	Empresa Ecuatoriana De Aviación	ECUATORIANA	Ecuador		1
G8	ENK	Enkor JSC	ENKOR	Russia		1
OF	ENT	Enter Air	ENTER	Poland		1
E0	ESS	Eos Airlines	NEW DAWN	United States		1
B8	ERT	Eritrean Airlines	ERITREAN	Eritrea		1
E7	ESF	Estafeta Carga Aérea		Mexico		1
OV	ELL	Estonian Air	ESTONIAN	Estonia		1
ET	ETH	Ethiopian Airlines	ETHIOPIAN	Ethiopia		1
EY	ETD	Etihad Airways	ETIHAD	United Arab Emirates		1
MM	MMZ	EuroAtlantic Airways	EUROATLANTIC	Portugal		1
UI	ECA	Eurocypria Airlines	EUROCYPRIA	Cyprus		1
GJ	EEZ	Eurofly	E-FLY	Italy		1
K2	ELO	Eurolot	EUROLOT	Poland		1
3W	EMX	Euromanx Airways	EUROMANX	Austria		1
5O	FPO	Europe Airpost	FRENCH POST	France		1
EA	EAL	European Air Express	STAR WING	Germany		1
QY	BCS	European Air Transport	EUROTRANS	Belgium		1
E7	EAF	European Aviation Air Charter	EUROCHARTER	United Kingdom		1
EW	EWG	Eurowings	EUROWINGS	Germany		1
EZ	EIA	Evergreen International Airlines	EVERGREEN	United States		1
JN	XLA	Excel Airways	EXPO	United Kingdom		1
MB	EXA	Execair Aviation	CANADIAN EXECAIRE	Canada		1
OW	EXK	Executive Airlines	EXECUTIVE EAGLE	United States	American Eagle	1
EO	LHN	Express One International	LONGHORN	United States	defunct	0
EV	ASQ	ExpressJet	ACEY	United States		1
U2	EZY	easyJet	EASY	United Kingdom		1
DS	EZS	easyJet Switzerland	TOPSWISS	Switzerland		1
EF	EFA	Far Eastern Air Transport	Far Eastern	Taiwan		1
F6	RCK	Faroejet	ROCKROSE	Faroe Islands		1
F3	FSW	Faso Airways	FASO	Burkina Faso		1
FX	FDX	Federal Express	FEDEX	United States		1
N8	HGK	Fika Salaama Airlines	SALAAMA	Uganda		1
4S	FNC	Finalair Congo	FINALAIR CONGO	Republic of the Congo		1
AY	FIN	Finnair	FINNAIR	Finland		1
FC	WBA	Finncomm Airlines	WESTBIRD	Finland		1
FY	FFM	Firefly	FIREFLY	Malaysia		1
7F	FAB	First Air	FIRST AIR	Canada		1
DP	FCA	First Choice Airways	JETSET	United Kingdom		1
8F	FFR	Fischer Air	FISCHER	Czech Republic		1
8D	EXV	FitsAir	EXPOAVIA	Sri Lanka		1
B5	FLT	Flightline	FLIGHTLINE	United Kingdom	defunct	0
PA	FCL	Florida Coastal Airlines	FLORIDA COASTAL	United States		1
RF	FWL	Florida West International Airways	FLO WEST	United States		1
F2	FLM	Fly Air	FLY WORLD	Turkey		1
OJ	FJM	Fly Jamaica Airways	GREENHEARTH	Jamaica		1
SH	FLY	Fly Me Sweden	FLYBIRD	Sweden		1
D7	XFA	FlyAsianXpress	FAX AIR	Malaysia		1
TE	LIL	FlyLal	LITHUANIA AIR	Lithuania	defunct	0
LF	NDC	FlyNordic	NORDIC	Sweden		1
F7	BBO	Flybaboo	BABOO	Switzerland		1
BE	BEE	Flybe	JERSEY	United Kingdom		1
Y2	GSM	Flyglobespan	GLOBESPAN	United Kingdom	defunct	0
W3	FYH	Flyhy Cargo Airlines	FLY HIGH	Thailand		1
VY	FOS	Formosa Airlines		Taiwan	defunct	0
HK	FSC	Four Star Aviation / Four Star Cargo	FOUR STAR	United States	Virgin Islands	1
FH	FHY	Freebird Airlines	FREEBIRD AIR	Turkey		1
SJ	FOM	Freedom Air	FREE AIR	New Zealand		1
FP	FRE	Freedom Air	FREEDOM	United States	Aviation Services	1
F9	FFT	Frontier Airlines	FRONTIER FLIGHT	United States		1
2F	FTA	Frontier Flying Service	FRONTIER-AIR	United States		1
FH	FUA	Futura International Airways	FUTURA	Spain	defunct	0
FZ	FDB	Flydubai	SKYDUBAI	UAE		1
9Y	FGE	Fly Georgia	GEORGIA WING	Georgia		1
GL	GRL	Air Greenland	GREENLAND	Greenland Denmark		1
GX	GBC	Guangxi Beibu Gulf Airlines		China		1
Y5	GMR	Golden Myanmar Airlines	GOLDEN MYANMAR	Myanmar		1
GT	GBL	GB Airways	GEEBEE AIRWAYS	United Kingdom		1
Z5	GMG	GMG Airlines	GMG	Bangladesh		1
7O	GAL	Galaxy Air	GALAXY	Kyrgyzstan		1
GC	GNR	Gambia International Airlines	GAMBIA INTERNATIONAL	Gambia		1
G7	GNF	Gandalf Airlines	Gandalf	Italy		1
GA	GIA	Garuda Indonesia	INDONESIA	Indonesia		1
4G	GZP	Gazpromavia	GAZPROMAVIA	Russia		1
GR	GCO	Gemini Air Cargo	GEMINI	United States		1
A9	TGZ	Georgian Airways	TAMAZI	Georgia		1
QB	GFG	Georgian National Airlines	NATIONAL	Georgia		1
ST	GMI	Germania	GERMANIA	Germany		1
4U	GWI	Germanwings	GERMAN WINGS	Germany		1
GP	GES	Gestair	GESTAIR	Spain		1
GH	GHA	Ghana Airways	GHANA	Ghana		0
G0	GHB	Ghana International Airlines	GHANA AIRLINES	Ghana		1
G8	GOW	GoAir	GOAIR	India		1
G7	GJS	GoJet Airlines	LINDBERGH	United States		1
G3	GLO	Gol Transportes Aéreos	GOL TRANSPORTE	Brazil	Brazilian low-cost airline.	1
DC	GAO	Golden Air	GOLDEN	Sweden		1
GS	GUN	Grant Aviation	HOOT	United States		1
ZK	GLA	Great Lakes Airlines	LAKES AIR	United States		1
IJ	GWL	Great Wall Airlines	GREAT WALL	China		1
G6	BSR	Guine Bissaur Airlines	BISSAU AIRLINES	Guinea-Bissau		1
J9	GIF	Guinee Airlines	GUINEE AIRLINES	Guinea	defunct	0
G8	GUJ	Gujarat Airways	GUJARATAIR	India		1
GF	GBA	Gulf Air Bahrain	GULF BAHRAIN	Bahrain		1
A5	HOP	Hop!	AIR HOP	France		1
H6	HAG	Hageland Aviation Services	HAGELAND	United States		1
HR	HHN	Hahn Air	ROOSTER	Germany		1
HU	CHH	Hainan Airlines	HAINAN	China		1
2T	HAM	Haiti Ambassador Airlines		Haiti		1
4R	HHI	Hamburg International	HAMBURG JET	Germany		1
X3	HLX	Hapag-Lloyd Express (TUIfly)	YELLOW CAB	Germany		1
HF	HLF	Hapagfly	HAPAG LLOYD	Germany	TUIfly	1
HB	HAR	Harbor Airlines	HARBOR	United States		1
HQ	HMY	Harmony Airways	HARMONY	Canada		1
HA	HAL	Hawaiian Airlines	HAWAIIAN	United States		1
HN	HVY	Heavylift Cargo Airlines	HEAVY CARGO	Australia		1
8H	HFR	Heli France	HELIFRANCE	France		1
JB	JBA	Helijet	HELIJET	Canada		1
ZU	HCY	Helios Airways	HELIOS	Cyprus		1
9I	HTA	Helitrans	SCANBIRD	Norway		1
HJ	HEJ	Hellas Jet	HELLAS JET	Greece	ceased operation in 2010	1
HW	FHE	Hello	FLYHELLO	Switzerland		1
2L	OAW	Helvetic Airways	HELVETIC	Switzerland		1
EO	ALX	Hewa Bora Airways	ALLCONGO	Democratic Republic of the Congo		1
UD	HER	Hex'Air	HEX AIRLINE	France		1
5K	HFY	Hi Fly	SKY FLYER	Portugal		1
H5	HOA	Hola Airlines	HOLA	Spain		1
HC	HCC	Holidays Czech Airlines	CZECH HOLIDAYS	Czech Republic		1
HX	CRK	Hong Kong Airlines	BAUHINIA	Hong Kong		1
UO	HKE	Hong Kong Express Airways	HONGKONG SHUTTLE	Hong Kong		1
QX	QXE	Horizon Air	HORIZON AIR	United States		1
BN	HZA	Horizon Airlines	HORIZON	Australia	defunct	0
IK	KAR	Ikar	IKAR	Russian Federation		1
II	CSQ	IBC Airways	CHASQUI	United States		1
0C	IBL	IBL Aviation	CATOVAIR	Mauritius		1
C3	IPR	Independent Carrier (ICAR)	ICAR	Ukraine		1
IB	IBE	Iberia Airlines	IBERIA	Spain		1
I2	IBS	Iberia Express	IBEREXPRESS	Spain	Charter service, low cost carrier for EU flights of Iberia operating only A320's	1
TY	IWD	Iberworld	IBERWORLD	Spain		1
FW	IBX	Ibex Airlines	IBEX	Japan		1
FI	ICE	Icelandair	ICEAIR	Iceland		1
V8	IAR	Iliamna Air Taxi	ILIAMNA AIR	United States		1
DH	IDE	Independence Air	INDEPENDENCE AIR	United States	defunct	0
6E	IGO	IndiGo Airlines	IFLY	India	Interglobe Aviation	1
IC	IAC	Indian Airlines	INDAIR	India		1
I9	IBU	Indigo	INDIGO BLUE	United States		1
QZ	AWQ	Indonesia AirAsia	WAGON AIR	Indonesia		1
IO	IAA	Indonesian Airlines	INDO LINES	Indonesia		1
H4	IIN	Inter Island Airways		Cape Verde		1
D6	ILN	Interair South Africa	INLINE	South Africa		1
ZA	SUW	Interavia Airlines	ASTAIR	Russia		1
RS	ICT	Intercontinental de Aviación	CONTAVIA	Colombia		1
ID	ITK	Interlink Airlines	INTERLINK	South Africa		1
6I	IBZ	International Business Air	INTERBIZ	Sweden	was U5	1
3L	ISK	Intersky	INTERSKY	Austria		1
I4	FWA	Interstate Airlines	FREEWAYAIR	Netherlands		1
IR	IRA	Iran Air	IRANAIR	Iran	Was B9	1
EP	IRC	Iran Aseman Airlines	ASEMAN	Iran		1
IA	IAW	Iraqi Airways	IRAQI	Iraq		1
IH	MZA	Irtysh Air	IRTYSH AIRLINES	Kazakhstan	Old IATA code: IT; old ICAO code: IRT	1
2S	SDY	Island Express	SANDY ISLE	United States		1
IF	ISW	Islas Airways	PINTADERA	Spain		1
WC	ISV	Islena De Inversiones		Honduras		1
6H	ISR	Israir	ISRAIR	Israel		1
FS	ACL	Itali Airlines	SPADA	Italy	Former name: Transporti Aerei Italiani; former IATA Code: 9X*; former ICAO code: ACO	1
GI	IKA	Itek Air	ITEK-AIR	Kyrgyzstan	?ICAO confirmed; IATA not	1
H9	IZM	Izair	IZMIR	Turkey		1
JC	JEX	JAL Express	JANEX	Japan		1
JO	JAZ	JALways	JALWAYS	Japan		1
MT	JMC	JMC Airlines	JAYEMMSEE	United Kingdom		1
JI	JAE	Jade Cargo International	JADE CARGO	China		1
3X	JAC	Japan Air Commuter	COMMUTER	Japan		1
JL	JAL	Japan Airlines	JAPANAIR	Japan	Japan Airlines International	1
JL	JAL	Japan Airlines Domestic	J-BIRD	Japan	defunct	0
EG	JAA	Japan Asia Airways	ASIA	Japan	defunct	0
NU	JTA	Japan Transocean Air	JAI OCEAN	Japan		1
JU	JAT	Jat Airways	JAT	Serbia	Name changed to Air Serbia	1
VJ	JTY	Jatayu Airlines	JATAYU	Indonesia		1
J9	JZR	Jazeera Airways	JAZEERA	Kuwait		1
7C	JJA	Jeju Air	JEJU AIR	Republic of Korea		1
9W	JAI	Jet Airways	JET AIRWAYS	India		1
PP	PJS	Jet Aviation	JETAVIATION	Switzerland		1
3K	JSA	Jetstar Asia Airways	JETSTAR ASIA	Singapore		1
LS	EXS	Jet2.com	CHANNEX	United Kingdom		1
B6	JBU	JetBlue Airways	JETBLUE	United States		1
JF	JAA	Jet Asia Airways	JET ASIA	Thailand		1
0J	JCS	Jetclub	JETCLUB	Switzerland		1
SG	JGO	JetsGo	JETSGO	Canada	defunct	0
JQ	JST	Jetstar Airways	JETSTAR	Australia		1
JM	JKT	Jetstar Hong Kong Airways	KAITAK	China		1
JX	JEC	Jett8 Airlines Cargo		Singapore		1
JO	JTG	Jettime	JETTIME	Denmark		1
GX	JXX	JetX Airlines	JETBIRD	Iceland		1
R5	JAV	Jordan Aviation	JORDAN AVIATION	Jordan		1
J4	JCI	Jordan International Air Cargo		Jordan		1
6J	JUB	Jubba Airways	JUBBA	Somalia		1
HO	DKH	Juneyao Airlines	JUNEYAO AIRLINES	China		1
KW	KHK	Kharkiv Airlines	SUNRAY	Ukraine		1
KD	KLS	Kalstar Aviation	KALSTAR	Indonesia		1
KD	KNI	KD Avia	KALININGRAD AIR	Russia		1
WA	KLC	KLM Cityhopper	KLM	Netherlands		1
KL	KLM	KLM	KLM	Netherlands		1
N2	QNK	Kabo Air	KABO	Nigeria		1
K4	CKS	Kalitta Air	CONNIE	United States	Operates 747-200's &amp; -400's	1
K9	KFS	Kalitta Charters	KALITTA	United States	Operates Lear 20's &amp; 30's, Falcon 20's, &amp; King Airs	1
CB	KFS	Kalitta Charters II	KALITTA	United States	Operates B727-200's &amp; DC9's	1
RQ	KMF	Kam Air	KAMGAR	Afghanistan		1
E2	KMP	Kampuchea Airlines	KAMPUCHEA	Cambodia	IATA was KT	1
V2	AKT	Karat	AVIAKARAT	Russia		1
KV	MVD	Kavminvodyavia	AIR MINVODY	Russia		1
M5	KEN	Kenmore Air	KENMORE	United States		1
KQ	KQA	Kenya Airways	KENYA	Kenya		1
BZ	KEE	Keystone Air Service	KEYSTONE	Canada		1
IT	KFR	Kingfisher Airlines	KINGFISHER	India		1
Y9	IRK	Kish Air	KISHAIR	Iran		1
KP	KIA	Kiwi International Air Lines	KIWI AIR	United States		1
7K	KGL	Kogalymavia Air Company	KOGALYM	Russia		1
8J	KMV	Komiinteravia	KOMIINTER	Russia		1
KE	KAL	Korean Air	KOREANAIR	South Korea		1
7B	KJC	Krasnojarsky Airlines	KRASNOJARSKY AIR	Russia	defunct	0
K9	KRI	Krylo Airlines	Krylo	Russia		1
GW	KIL	Kuban Airlines	AIR KUBAN	Russia		1
VD	KPA	Kunpeng Airlines	KUNPENG	China		1
KU	KAC	Kuwait Airways	KUWAITI	Kuwait		1
GO	KZU	Kuzu Airlines Cargo	KUZU CARGO	Turkey		1
N5	KGZ	Kyrgyz Airlines	BERMET	Kyrgyzstan		1
QH	LYN	Kyrgyzstan	ALTYN AVIA	Kyrgyzstan	Name changed to Air Kyrgyzstan	1
R8	KGA	Kyrgyzstan Airlines	KYRGYZ	Kyrgyzstan		1
FK	KEW	Keewatin Air	BLIZZARD	Canada		1
JF	LAB	L.A.B. Flying Service	LAB	United States		1
LR	LRC	LACSA	LACSA	Costa Rica		1
KG	BNX	LAI - Línea Aérea IAACA	AIR BARINAS	Venezuela		1
LA	LAN	LAN Airlines	LAN CHILE	Chile		1
4M	DSM	Aero 2000	LAN AR	Argentina		1
LU	LXP	LAN Express	LANEX	Chile		1
LP	LPE	LAN Peru	LANPERU	Peru		1
LO	LOT	LOT Polish Airlines	POLLOT	Poland		1
XO	LTE	LTE International Airways	FUN JET	Spain		1
L3	LTO	LTU Austria	BILLA TRANSPORT	Austria		1
LT	LTU	LTU International	LTU	Germany		1
N6	JEV	Lagun Air		Spain		1
IK	LKN	Lankair	Lankair	Sri Lanka		1
QL	RLN	Lankan Cargo	AERO LANKA	Sri Lanka		1
QV	LAO	Lao Airlines	LAO	Lao Peoples Democratic Republic		1
L7	LPN	Laoag International Airlines	LAOAG AIR	Philippines		1
NG	LDA	Lauda Air	LAUDA AIR	Austria		1
LQ	LAQ	Lebanese Air Transport	LAT	Lebanon		1
LI	LIA	Leeward Islands Air Transport	LIAT	Antigua and Barbuda		1
LN	LAA	Libyan Arab Airlines	LIBAIR	Libya		1
L7	LNP	Línea Aérea SAPSA	SAPSA	Chile		1
QL	LER	Línea Aérea de Servicio Ejecutivo Regional	LASER	Venezuela		1
LD	TUY	Línea Turística Aereotuy	AEREOTUY	Venezuela		1
ZE	LCD	Líneas Aéreas Azteca	LINEAS AZTECA	Mexico	defunct	0
TM	LAM	Linhas Aéreas de Moçambique	MOZAMBIQUE	Mozambique		1
JT	LNI	Lion Mentari Airlines	LION INTER	Indonesia		1
LM	LVG	Livingston	LIVINGSTON	Italy		1
LB	LLB	Lloyd Aéreo Boliviano	LLOYDAEREO	Bolivia		1
LC	LOG	Loganair	LOGAN	United Kingdom		1
HE	LGW	Luftfahrtgesellschaft Walter	WALTER	Germany		1
LH	DLH	Lufthansa	LUFTHANSA	Germany		1
LH	GEC	Lufthansa Cargo	LUFTHANSA CARGO	Germany		1
CL	CLH	Lufthansa CityLine	HANSALINE	Germany		1
DV	LTF	Lufttaxi Fluggesellschaft	Garfield	Germany		1
L5	LTR	Lufttransport	LUFT TRANSPORT	Norway		1
LG	LGL	Luxair	LUXAIR	Luxembourg		1
5V	UKW	Lviv Airlines	UKRAINE WEST	Ukraine		1
L2	LYC	Lynden Air Cargo	LYNDEN	United States		1
L4	SSX	Lynx Aviation	SHASTA	United States	Part of Frontier Airlines	1
Z8	AZN	Línea Aérea Amaszonas		Bolivia		1
MJ	LPR	Líneas Aéreas Privadas Argentinas	LAPA	Argentina	defunct	0
OD	MXD	Malindo Airways	MALINDO EXPRESS	Malaysia		1
AQ	MPJ	MAP-Management and Planung	MAPJET	Austria		1
M7	MAA	MasAir	MAS CARGA	Mexico		1
MH	MWG	MASwings	MASWINGS	Malaysia		1
IN	MAK	MAT Macedonian Airlines	MAKAVIO	Macedonia		1
OM	MGL	MIAT Mongolian Airlines	MONGOL AIR	Mongolia		1
MB	MNB	MNG Airlines	BLACK SEA	Turkey		1
CC	MCK	Macair Airlines		Australia		1
W5	IRM	Mahan Air	MAHAN AIR	Iran		1
M2	MZS	Mahfooz Aviation	MAHFOOZ	Gambia		1
MH	MAS	Malaysia Airlines	MALAYSIAN	Malaysia		1
TF	SCW	Malmö Aviation	SCANWING	Sweden		1
R5	MAC	Malta Air Charter	MALTA CHARTER	Malta	Defunct?	0
MA	MAH	Malév Hungarian Airlines	MALEV	Hungary		1
RI	MDL	Mandala Airlines	MANDALA	Indonesia		1
AE	MDA	Mandarin Airlines	MANDARIN	Taiwan		1
JE	MNO	Mango	TULCA	South Africa		1
6V	MRW	Mars RK	AVIAMARS	Ukraine		1
M7	MSL	Marsland Aviation	MARSLANDAIR	Sudan		1
MP	MPH	Martinair	MARTINAIR	Netherlands		1
H5	MVL	Mavial Magadan Airlines	Mavial	Russia		1
8M	MXL	Maxair	MAXAIR	Sweden		1
MY	MXJ	Maxjet Airways	MAX-JET	United States	Defunct	0
MW	MYD	Maya Island Air	MYLAND	Belize		1
M8	MKN	Mekong Airlines	MEKONG AIRLINES	Cambodia	Defunct	0
IM	MNJ	Menajet	MENAJET	Lebanon		1
IG	ISS	Meridiana	MERIDIANA	Italy	Callsign was MERAIR	1
MZ	MNA	Merpati Nusantara Airlines	MERPATI	Indonesia		1
YV	ASH	Mesa Airlines	AIR SHUTTLE	United States		1
XJ	MES	Mesaba Airlines	MESABA	United States		1
MX	MXA	Mexicana de Aviación	MEXICANA	Mexico		1
GL	BSK	Miami Air International	BISCAYNE	United States		1
ME	MEA	Middle East Airlines	CEDAR JET	Lebanon		1
JI	MDW	Midway Airlines (1993–2003)	MIDWAY	United States	defunct	0
ML	MDW	Midway Airlines (1976–1991)	MIDWAY	United States	defunct	0
YX	MEP	Midwest Airlines	MIDEX	United States		1
MY	MWA	Midwest Airlines (Egypt)		Egypt		1
MJ	MLR	Mihin Lanka	MIHIN LANKA	Sri Lanka		1
7M	MSA	Mistral Air	AIRMERCI	Italy		1
2M	MDV	Moldavian Airlines	MOLDAVIAN	Moldova		1
ZB	MON	Monarch Airlines	MONARCH	United Kingdom		1
