iata	icao	airline	callsign	country	comments	active
YM	MGX	Montenegro Airlines	MONTENEGRO	Montenegro	former callsign was "MONTAIR"	1
5M	MNT	Montserrat Airways	MONTSERRAT	Montserrat		1
3R	GAI	Moskovia Airlines	GROMOV AIRLINE	Russia	JSC	1
M9	MSI	Motor Sich	MOTOR SICH	Ukraine		1
NM	NZM	Mount Cook Airlines	MOUNTCOOK	New Zealand		1
N4	MTC	Mountain Air Company	MOUNTAIN LEONE	Sierra Leone		1
VZ	MYT	MyTravel Airways	KESTREL	United Kingdom	Defunct, callsign now used by Thomas Cook Airlines	0
UB	UBA	Myanma Airways	UNIONAIR	Myanmar		1
8M	MMA	Myanmar Airways International	MYANMAR	Myanmar		1
DV	ACK	Nantucket Airlines	ACK AIR	United States	WAS 9k	1
UE	NAS	Nasair	NASAIRWAYS	Eritrea		1
N4	NCN	National Airlines		Chile		1
N7	ROK	National Airlines	RED ROCK	United States	defunct	0
NA	NAL	National Airlines	NATIONAL	United States	defunct	0
N8	NCR	National Air Cargo dba National Airlines	NATIONAL CARGO	United States		1
NC	NJS	National Jet Systems	NATIONAL JET	Australia		1
CE	NTW	Nationwide Airlines	NATIONWIDE	South Africa		1
RA	RNA	Nepal Airlines	ROYAL NEPAL	Nepal	was Royal Nepal Airlines	0
NO	NOS	Neos	MOONFLOWER	Italy		1
1I	EJA	NetJets	EXECJET	United States		1
EJ	NEA	New England Airlines	NEW ENGLAND	United States		1
2N	NTJ	NextJet	NEXTJET	Sweden		1
HG	NLY	Niki	FLYNIKI	Austria		1
KZ	NCA	Nippon Cargo Airlines	NIPPON CARGO	Japan		1
DD	NOK	Nok Air	NOK AIR	Thailand		1
5N	AUL	Nordavia	ARCHANGELSK AIR	Russia		1
JH	NES	Nordeste Linhas Aéreas Regionais	NORDESTE	Brazil		1
6N	NRD	Nordic Regional	NORTH RIDER	Sweden		1
N4	NWS	Nordwind Airlines	NORDLAND	Russia		1
NA	NAO	North American Airlines	NORTH AMERICAN	United States		1
M3	NFA	North Flying	NORTH FLYING	Denmark		1
HW	NWL	North-Wright Airways	NORTHWRIGHT	Canada		1
NC	NAC	Northern Air Cargo	YUKON	United States		1
NW	NWA	Northwest Airlines	NORTHWEST	United States	defunct merged with Delta Air Lines	0
FY	NWR	Northwest Regional Airlines		Australia		1
J3	PLR	Northwestern Air	POLARIS	Canada		1
DY	NAX	Norwegian Air Shuttle	NOR SHUTTLE	Norway		1
D8	IBK	Norwegian Air International LTD.	NORTRANS	Ireland	subsidiary of Norwegian Air Shuttle	1
BJ	LBT	Nouvel Air Tunisie	NOUVELAIR	Tunisia		1
O9	NOV	Nova Airline	NOVANILE	Sudan		1
1I	NVR	Novair	NAVIGATOR	Sweden		1
VQ	NVQ	Novo Air	NOVO AIR	Bangladesh		1
N6	ACQ	Nuevo Continente	AERO CONTINENTE	Peru	Operating license revoked by Chile 10/06/2002; Ceased operations 2005; Former name: Aero Continente	0
UQ	OCM	O'Connor Airlines	OCONNOR	Australia	Defunct - Bankrupt	0
CR	ABC	OAG		United Kingdom		1
O8	OHK	Oasis Hong Kong Airlines	OASIS	Hong Kong	Defunct	0
VC	VCX	Ocean Airlines	OCEANCARGO	Italy		1
O6	ONE	Avianca Brazil	OCEANAIR	Brazil	formerly Oceanair	1
OA	OAL	Olympic Air	OLYMPIC	Greece		1
WY	OMA	Oman Air	OMAN AIR	Oman		1
OY	OAE	Omni Air International	OMNI-EXPRESS	United States		1
N3	OMS	Omskavia Airline	OMSK	Russia		1
8Q	OHY	Onur Air	ONUR AIR	Turkey		1
R2	ORB	Orenburg Airlines	ORENBURG	Russia		1
OX	OEA	Orient Thai Airlines	ORIENT THAI	Thailand		1
QO	OGN	Origin Pacific Airways	ORIGIN	New Zealand		1
OL	OLT	OLT Express Germany	OLTRA	Germany		1
ON	RON	Our Airline	OUR AIRLINE	Nauru	formerly Air Nauru	1
OJ	OLA	Overland Airways	OVERLAND	Nigeria		1
OZ	OZR	Ozark Air Lines	OZARK	United States	Defunct	0
O7	OZJ	Ozjet Airlines	AUSJET	Australia		1
OA	OAL	Olympic Airlines	OLYMPIC	Greece	Defunct	0
OB	AAN	Oasis International Airlines	OASIS	Spain	Ceased operations	0
PV	PNR	PAN Air	SKYJET	Spain		1
9Q	PBA	PB Air	PEEBEE AIR	Thailand		1
PU	PUA	PLUNA	PLUNA	Uruguay		1
U4	PMT	PMTair	MULTITRADE	Cambodia	Progress Multitrade	1
Y5	PCE	Pace Airlines	PACE	United States		1
BL	PIC	Pacific Airlines	PACIFIC AIRLINES	Vietnam		1
DJ	PBN	Pacific Blue	BLUEBIRD	New Zealand	Controlled Dupe IATA with Virgin Australia	1
8P	PCO	Pacific Coastal Airlines	PASCO	Canada		1
Q8	PEC	Pacific East Asia Cargo Airlines	PAC-EAST CARGO	Philippines		1
LW	NMI	Pacific Wings	TSUNAMI	United States		1
PK	PIA	Pakistan International Airlines	PAKISTAN	Pakistan		1
GP	PTP	Palau Trans Pacific Airlines	TRANS PACIFIC	Palau		1
PF	PNW	Palestinian Airlines	PALESTINIAN	Egypt		1
NR	PIR	Pamir Airways	PAMIR	Afghanistan		1
7N	PWD	PAWA Dominicana		Dominican Republic		1
PA	PAA	Pan American Airways		United States	defunct	0
PA	PAA	Pan American World Airways	CLIPPER	United States		1
P8	PTN	Pantanal Linhas Aéreas	PANTANAL	Brazil		1
I7	PMW	Paramount Airways	PARAWAY	India		1
P3	PTB	Passaredo Transportes Aéreos	PASSAREDO	Brazil		1
HP	HPA	Pearl Airways	PEARL AIRWAYS	Haiti	IATA code withdrawn	1
PC	PGT	Pegasus Airlines	SUNTURK	Turkey	WAS 1I, H9	1
PE	PEV	People's Viennaline	PEOPLES	Switzerland	Previously used by Pegaviation	1
KS	PEN	Peninsula Airways	PENINSULA	United States		1
P9	PGP	Perm Airlines	PERM AIR	Russia		1
P9	PVN	Peruvian Airlines		Peru		1
PR	PAL	Philippine Airlines	PHILIPPINE	Philippines		1
9R	VAP	Phuket Air	PHUKET AIR	Thailand		1
PI	PDT	Piedmont Airlines (1948-1989)	PIEDMONT	United States	defunct	0
9E	FLG	Pinnacle Airlines	FLAGSHIP	United States		1
PO	PAC	Polar Air Cargo	POLAR	United States		1
PH	PAO	Polynesian Airlines	POLYNESIAN	Samoa		1
DJ	PLB	Polynesian Blue	POLYBLUE	New Zealand	Controlled Dupe IATA, Code reserved but not in use, PBN (Bluebird) used.	1
PD	POE	Porter Airlines	PORTER	Canada		1
NI	PGA	Portugalia	PORTUGALIA	Portugal		1
BK	PDC	Potomac Air	DISTRICT	United States		1
PW	PRF	Precision Air	PRECISION AIR	Tanzania		1
TO	PSD	President Airlines		Cambodia		1
FE	WCP	Primaris Airlines	WHITECAP	United States		1
8W	PWF	Private Wings Flugcharter	PRIVATE WINGS	Germany		1
P6	PVG	Privilege Style Líneas Aéreas	PRIVILEGE	Spain		1
P0	PFZ	Proflight Zambia	PROFLIGHT-ZAMBIA	Zambia		1
FV	PLK	Pulkovo Aviation Enterprise	PULKOVO	Russia	defunct merged into Rossiya (airline)	0
QF	QFA	Qantas	QANTAS	Australia		1
QR	QTR	Qatar Airways	QATARI	Qatar		1
8L	RHC	Redhill Aviation	REDAIR	United Kingdom		1
V4	REK	Reem Air	REEM AIR	Kyrgyzstan		1
FN	RGL	Regional Air Lines	MAROC REGIONAL	Morocco		1
ZL	RXA	Regional Express	REX	Australia		1
3C	CEA	RegionsAir	CORP-X	United States	formerly Corporate Airlines	1
QQ	ROA	Reno Air	RENO AIR	United States	defunct	0
RW	RPA	Republic Airlines	BRICKYARD	United States		1
RH	RPH	Republic Express Airlines	PUBLIC EXPRESS	Indonesia		1
C7	RLE	Rico Linhas Aéreas	RICO	Brazil		1
E2	GRN	Rio Grande Air	GRANDE	United States	defunct	0
RL	RIO	Rio Linhas Aéreas	RIO	Brazil		1
SL	RSL	Rio Sul Serviços Aéreos Regionais	RIO SUL	Brazil	defunct	0
V2	RBY	Vision Airlines	RUBY	United States	Charter Airline and Las Vegas Tours	1
FV	SDM	Rossiya	RUSSIA	Russia	Airline merged with Pulkovo Aviation Enterprise and renamed to Rossiya	1
GZ	RAR	Air Rarotonga	AIR RAROTONGA	Cook Islands		1
RR	RFR	Royal Air Force	RAFAIR	United Kingdom		1
RS	MJN	Royal Air Force of Oman	MAJAN	Oman		1
AT	RAM	Royal Air Maroc	ROYALAIR MAROC	Morocco		1
R0	RPK	Royal Airlines	ROYAL PAKISTAN	Pakistan		1
V5	RYL	Royal Aruban Airlines	ROYAL ARUBAN	Aruba		1
BI	RBA	Royal Brunei Airlines	BRUNEI	Brunei		1
RJ	RJA	Royal Jordanian	JORDANIAN	Jordan		1
RK	RCT	Skyview Airways	GREENSKY	THAILAND	2014	1
RL	PPW	Royal Phnom Penh Airways	PHNOM-PENH AIR	Cambodia		1
WR	HRH	Royal Tongan Airlines	TONGA ROYAL	Tonga		1
P7	ESL	Russian Sky Airlines	RADUGA	Russia		1
WB	RWD	Rwandair Express	RWANDAIR	Rwanda		1
7S	RCT	Ryan Air Service	ARCTIC TRANSPORT	United States		1
RD	RYN	Ryan International Airlines	RYAN INTERNATIONAL	United States		1
FR	RYR	Ryanair	RYANAIR	Ireland		1
YS	RAE	Régional Compagnie Aérienne Européenne	REGIONAL EUROPE	France		1
TZ	SCO	Scoot	SCOOTER	Singapore		1
IJ	SJO	Spring Airlines Japan	JEY SPRING	Japan		1
6Y	ART	Smartlynx Airlines	SMART LYNX	Latvia		1
GW	SGR	SkyGreece Airlines	SKYGREECE	Greece		1
7E	AWU	Sylt Air GmbH	SYLT-AIR	Germany		1
S4	RZO	SATA International	AIR AZORES	Portugal		1
SA	SAA	South African Airways	SPRINGBOK	South Africa		1
RS	SKV	Sky Regional Airlines	MAPLE	Canada		1
W7	SAH	Sayakhat Airlines	SAYAKHAT	Kazakhstan		1
NL	SAI	Shaheen Air International	SHAHEEN AIR	Pakistan		1
MM	SAM	SAM Colombia	SAM	Colombia	Sociedad Aeronáutica De Medellín	1
SK	SAS	Scandinavian Airlines	SCANDINAVIAN	Sweden, Denmark and Norway		1
UG	SEN	SevenAir	S-BAR	United States		1
S7	SBI	S7 Airlines	SIBERIAN AIRLINES	Russia		1
BB	SBS	Seaborne Airlines	SEABORNE	United States		1
PV	SBU	St Barth Commuter	BLACK FIN	France		1
K5	SQH	SeaPort Airlines	SASQUATCH	United States	Former airline: Wings of Alaska now part of SeaPort Airlines. Alternative callsign: WINGS (for VFR flights only). Former ICAO code: WAK.	1
W3	SCL	Switfair Cargo	SWIFTAIR	Canada		1
FP	AND	Servicios Aereos De Los Andes	SERVI ANDES	Peru	2014	1
UL	ALK	SriLankan Airlines	SRILANKAN	Sri Lanka		1
SY	SCX	Sun Country Airlines	SUN COUNTRY	United States		1
SG	SEJ	Spicejet	SPICEJET	India		1
I6	SEQ	Sky Eyes	SKY EYES	Thailand		1
EH	SET	SAETA	SAETA	Ecuador		1
7G	SFJ	Star Flyer	STARFLYER	Japan		1
FA	SFR	Safair	CARGO	South Africa		1
N5	SGY	Skagway Air Service	SKAGWAY AIR	United States		1
HZ	SHU	Sakhalinskie Aviatrassy (SAT)	SATAIR	Russia		1
SP	SAT	SATA Air Acores	SATA	Portugal		1
ZY	SHY	Sky Airlines	ANTALYA BIRD	Turkey		1
SQ	SIA	Singapore Airlines	SINGAPORE	Singapore		1
5M	SIB	Sibaviatrans	SIBAVIA	Russia		1
SI	SIH	Skynet Airlines	BLUEJET	Ireland		1
XS	SIT	SITA		Belgium		1
ZS	SMY	Sama Airlines	NAJIM	Saudi Arabia		1
SQ	SQC	Singapore Airlines Cargo	SINGCARGO	Singapore		1
FT	SRH	Siem Reap Airways	SIEMREAP AIR	Cambodia		1
SX	SRK	Sky Work Airlines	SKYFOX	Switzerland		1
SM	SRL	Swedline Express	Starline	Sweden	Ceased operations 2006	1
S6	SRR	Star Air	WHITESTAR	Denmark		1
D2	SSF	Severstal Air Company	SEVERSTAL	Russia		1
VD	BBB	SwedJet Airways	BLACKBIRD	Sweden		1
QF	SSQ	Sunstate Airlines	SUNSTATE	Australia	Uses IATA of parent QANTAS.	1
5G	SSV	Skyservice Airlines	SKYTOUR	Canada	defunct	0
RE	STK	Stobart Air	STOBART	Ireland		1
FS	STU	Servicios de Transportes Aéreos Fueguinos	FUEGUINO	Argentina	ICAO and call sign not current	1
SD	SUD	Sudan Airways	SUDANAIR	Sudan		1
PI	SUF	Sun Air (Fiji)	SUNFLOWER	Fiji		1
LW	FDY	Sun Air International	FRIENDLY	United States		1
EZ	SUS	Sun Air of Scandinavia	SUNSCAN	Denmark		1
SV	SVA	Saudia	SAUDIA	Saudi Arabia		1
WN	SWA	Southwest Airlines	SOUTHWEST	United States		1
A4	SWD	Southern Winds Airlines	SOUTHERN WINDS	Argentina		1
WG	SWG	Sunwing Airlines	SUNWING	Canada		1
LX	SWR	Swiss International Air Lines	SWISS	Switzerland		1
SR	SWR	Swissair	SWISSAIR	Switzerland	defunct	0
LX	SWU	Swiss European Air Lines	EUROSWISS	Switzerland		1
WV	SWV	Swe Fly	FLYING SWEDE	Sweden		1
S8	SWW	Shovkoviy Shlyah	WAY AERO	Ukraine		1
Q4	SWX	Swazi Express Airways	SWAZI EXPRESS	Swaziland		1
S8	SWZ	Skywise Airline	SKYWISE	South Africa		1
XQ	SXS	SunExpress	SUNEXPRESS	Turkey		1
RB	SYR	Syrian Arab Airlines	SYRIANAIR	Syrian Arab Republic		1
AL	SYX	Skywalk Airlines	SKYWAY-EX	United States	(Astral Aviation)	1
ZP	AZQ	Silk Way Airlines	SILK LINE	Azerbaijan		1
E5	BRZ	Samara Airlines	BERYOZA	Russia	defunct	0
SC	CDG	Shandong Airlines	SHANDONG	China		1
SK	CNO	SAS Braathens	SCANOR	Norway		1
9C	CQH	Spring Airlines	AIR SPRING	China		1
3U	CSC	Sichuan Airlines	SI CHUAN	China		1
FM	CSH	Shanghai Airlines	SHANGHAI AIR	China		1
ZH	CSZ	Shenzhen Airlines	SHENZHEN AIR	China		1
8C	CXI	Shanxi Airlines	SHANXI	China		1
7L	ERO	Sun D'Or	ECHO ROMEO	Israel		1
NE	ESK	SkyEurope	RELAX	Slovakia	Defunct	0
CQ	EXL	Sunshine Express Airlines		Australia		1
SO	HKA	Superior Aviation	SPEND AIR	United States		1
TE	IGA	Skytaxi	IGUANA	Poland		1
JK	JKK	Spanair	SPANAIR	Spain	defunct	0
2G	MRR	San Juan Airlines	MARINER	United States		1
1Z	APD	Sabre Pacific		Australia		1
NK	NKS	Spirit Airlines	SPIRIT WINGS	United States		1
S0	OKS	Slok Air Gambia	SLOK GAMBIA	Gambia		1
SO	OSL	Sosoliso Airlines	SOSOLISO	Nigeria		1
1I	PZR	Sky Trek International Airlines	PHAZER	United States		1
SX	SKB	Skybus Airlines	SKYBUS	United States	defunct	0
RU	SKI	SkyKing Turks and Caicos Airways	SKYKING	Turks and Caicos Islands	IATA was QW	1
S3	BBR	Santa Barbara Airlines	SANTA BARBARA	Venezuela		1
XT	SKT	SkyStar Airways	SKY YOU	Thailand		1
H2	SKU	Sky Airline	AEROSKY	Chile		1
OO	SKW	SkyWest Airlines	SKYWEST	United States		1
JZ	SKX	Skyways Express	SKY EXPRESS	Sweden	Ceased operations 2012; Operations continue as Avia Express	1
BC	SKY	Skymark Airlines	SKYMARK	Japan		1
LJ	SLA	Sierra National Airlines	SELAIR	Sierra Leone		1
MI	SLK	SilkAir	SILKAIR	Singapore		1
6Q	SLL	Slovak Airlines	SLOV LINE	Slovakia		1
PY	SLM	Surinam Airways	SURINAM	Suriname		1
NB	SNB	Sterling Airlines	STERLING	Denmark		1
6J	SNJ	Skynet Asia Airways	NEWSKY	Japan		1
IE	SOL	Solomon Airlines	SOLOMON	Solomon Islands		1
6W	SOV	Saratov Airlines Joint Stock Company	SARATOV AIR	Russia		1
HZ	SOZ	Sat Airlines	SATCO	Kazakhstan		1
S5	TCF	Shuttle America	MERCURY	United States		1
Q4	TLK	Starlink Aviation	STARLINK	Canada		1
V9	HCW	Star1 Airlines	STAR1	Lithuania	defunct	0
SO	AAS	Sunshine Airlines			defunct	0
EQ	TAE	TAME	TAME	Ecuador	Transporte Aéreos Militares Ecuatorianos	1
JJ	TAM	TAM Brazilian Airlines	TAM	Brazil		1
TP	TAP	TAP Portugal	AIR PORTUGAL	Portugal		1
TU	TAR	Tunisair	TUNAIR	Tunisia		1
3V	TAY	TNT Airways	QUALITY	Belgium		1
TR	TBA	Transbrasil	TRANSBRASIL	Brazil	defunct	0
M7	TBG	Tropical Airways		Haiti		1
T2	TCG	Thai Air Cargo	THAI CARGO	Thailand		1
HQ	TCW	Thomas Cook Airlines	THOMAS COOK	Belgium		1
MT	TCX	Thomas Cook Airlines	KESTREL	United Kingdom	Formerly "TOP JET"	0
TQ	TDM	Tandem Aero	TANDEM	Moldova		1
L9	TLW	Teamline Air	Teamline	Austria		1
UE	TEP	Transeuropean Airlines	TRANSEURLINE	Russia		1
2S	TGR	Satgur Air Transport	SATGURAIR	Liberia	defunct	0
ZT	AWC	Titan Airways	ZAP	United Kingdom		1
TR	TGW	Tigerair Singapore	GO CAT	Singapore		1
TT	TGW	Tigerair Australia	GO CAT	Australia		1
IT	TTW	Tigerair Taiwan	SMART CAT	Taiwan		1
DG	SRQ	Tigerair Philippines	SEATIGER	Philippines	Formerly SEAir and to be renamed to Go! Air	1
TG	THA	Thai Airways International	THAI	Thailand		1
FD	AIQ	Thai AirAsia	THAI ASIA	Thailand		1
TK	THY	Turkish Airlines	TURKISH	Turkey		1
T7	TJT	Twin Jet	TWINJET	France		1
9I	TKY	Thai Sky Airlines	THAI SKY	Thailand		1
TD	TLP	Tulip Air	TULIPAIR	Netherlands		1
TL	TMA	Trans Mediterranean Airlines	TANGO LIMA	Lebanon		1
GY	TMG	Tri-MG Intra Asia Airlines	TRILINES	Indonesia		1
OF	TML	Transports et Travaux Aériens de Madagascar	TAM AIRLINE	Madagascar		1
3P	TNM	Tiara Air	TIARA	Aruba		1
7T	TOB	Tobruk Air	TOBRUK AIR	Libya		1
TI	TOL	Tol-Air Services	TOL AIR	United States		1
BY	TOM	Thomson Airways	TOMSON	United Kingdom		1
PM	TOS	Tropic Air	TROPISER	Belize		1
QT	TPA	TAMPA	TAMPA	Colombia		1
GE	TNA	TransAsia Airways		Taiwan		1
TO	TVF	Transavia France	FRANCE SOLEIL	France		1
HV	TRA	Transavia Holland	TRANSAVIA	Netherlands		1
VR	TCV	TACV	CABOVERDE	Cape Verde		1
T9	TRZ	TransMeridian Airlines	TRANS-MERIDIAN	United States	Defunct	0
TH	TSE	Transmile Air Services	TRANSMILE	Malaysia		1
S5	TSJ	Trast Aero	TRAST AERO	Kyrgyzstan		1
9T	ABS	Transwest Air	ATHABASKA	Canada		1
UN	TSO	Transaero Airlines	TRANSOVIET	Russia		1
T9	TSX	Thai Star Airlines	THAI STAR	Thailand		1
UG	TUI	Tuninter		Tunisia		1
7O	TVL	Travel Service	TRAVEL SERVICE	Hungary		1
T6	TVR	Tavrey Airlines	TAVREY	Ukraine		1
QS	TVS	Travel Service	SKYTRAVEL	Czech Republic		1
TW	TWB	T'way Air	TWAYAIR	Republic of Korea		1
AL	TXC	TransAVIAexport Airlines	TRANSEXPORT	Belarus		1
6B	BLX	TUIfly Nordic	BLUESCAN	Sweden		1
DT	DTA	TAAG Angola Airlines	DTA	Angola		1
SF	DTH	Tassili Airlines	TASSILI AIR	Algeria		1
TJ	GPD	Tradewind Aviation	GOODSPEED	United States		1
PZ	LAP	TAM Mercosur	PARAGUAYA	Paraguay		1
AX	LOF	Trans States Airlines	WATERSKI	United States		1
1L	OSY	Open Skies Consultative Commission	OPEN SKIES	United States		1
RO	ROT	Tarom	TAROM	Romania		1
3T	URN	Turan Air	TURAN	Azerbaijan		1
T4	TIB	TRIP Linhas Aéreas	TRIP	Brazil	IATA code 8R changed to T4 (2010)	1
L6	VNZ	Tbilaviamsheni	TBILAVIA	Georgia		1
VO	TYR	Tyrolean Airways	TYROLEAN	Austria	Renamed from Austrian Arrows	1
TX	TAN	Transportes Aéreos Nacionales		Honduras	Defunct	0
U5	GWY	USA3000 Airlines	GETAWAY	United States		1
UA	UAL	United Airlines	UNITED	United States		1
4H	UBD	United Airways	UNITED BANGLADESH	Bangladesh		1
U2	UFS	United Feeder Service	FEEDER EXPRESS	United States	formerly part of United Express	1
U7	JUS	USA Jet Airlines	JET USA	United States		1
U6	SVR	Ural Airlines	SVERDLOVSK AIR	Russia		1
QU	UGA	Uganda Airlines	UGANDA	Uganda	Ceased operations 2001	1
UF	UKM	UM Airlines	UKRAINE MEDITERRANEE	Ukraine	Ukraine Mediterranean Airlines	1
6Z	UKS	Ukrainian Cargo Airways	CARGOTRANS	Ukraine		1
5X	UPS	United Parcel Service	UPS	United States		1
US	AWE	US Airways	CACTUS	United States		1
UH	USH	US Helicopter	US-HELI	United States		1
UT	UTA	UTair Aviation	UTAIR	Russia	WAS P2 till 2006	1
HY	UZB	Uzbekistan Airways	UZBEK	Uzbekistan		1
PS	AUI	Ukraine International Airlines	UKRAINE INTERNATIONAL	Ukraine		1
US	USA	US Airways	CACTUS	United States		1
JW	VNL	Vanilla Air	VANILLA	Japan		1
VB	VIV	VIVA Aerobus	AEROENLACES	Mexico		1
VA	VOZ	Virgin Australia Airlines	VELOCITY	Australia	PREVIOUSLY USED: KANGA, AURORA, VEE-OZ	1
VF	VLU	Valuair	VALUAIR	Singapore		1
J7	VJA	ValuJet Airlines	CRITTER	United States	Now operating as AirTran Airways. J7 Reassigned.	1
VC	VAL	Voyageur Airways	VOYAGEUR	Canada		1
VN	HVN	Vietnam Airlines	VIET NAM AIRLINES	Vietnam	was XV?	1
NN	MOV	VIM Airlines	MOV AIR	Russia		1
Y4	VOI	Volaris	VOLARIS	Mexico		1
VI	VDA	Volga-Dnepr Airlines	VOLGA-DNEPR	Russia		1
VX	VRD	Virgin America	REDWOOD	United States		1
TV	VEX	Virgin Express	VIRGIN EXPRESS	Belgium		1
VK	VGN	Virgin Nigeria Airways	VIRGIN NIGERIA	Nigeria		1
VS	VIR	Virgin Atlantic Airways	VIRGIN	United Kingdom		1
ZG	VVM	Viva Macau	JACKPOT	Macao		1
VE	VLE	C.A.I. Second	VOLA	Italy		1
VY	VLG	Vueling Airlines	VUELING	Spain		1
XF	VLK	Vladivostok Air	VLADAIR	Russia		1
LC	VLO	Varig Logística	VELOG	Brazil		1
VM	VOA	Viaggio Air	VIAGGIO	Bulgaria		1
DJ	VOZ	Virgin Australia	VELOCITY	Australia		1
DJ	VBH	Virgin Blue Holdings	BLUEY	Australia	Code used for Virgin Australia wet-leased operations.	1
9V	VPA	Vipair Airlines	VIAIR	Kazakhstan	defunct	0
RG	VRN	VRG Linhas Aéreas	VARIG	Brazil		1
5Z	VVC	VivaColombia	VivaColombia	Colombia	Commenced operations on May 25, 2012	1
VP	VSP	VASP	VASP	Brazil	defunct	0
V7	VOE	Volotea				1
VG	VLM	VLM Airlines	RUBENS	Belgium		1
G6	WLG	Air Volga	GOUMRAK	Russia		1
W1	WDL	WDL Aviation	WDL	Germany		1
WT	WSG	Wasaya Airways	WASAYA	Canada		1
WH	WEB	WebJet Linhas Aéreas	WEB-BRASIL	Brazil		1
2W	WLC	Welcome Air	WELCOMEAIR	Austria		1
WZ	WSF	West African Airlines		Benin		1
PT	SWN	West Air Sweden	AIR SWEDEN	Sweden		1
YH	WCW	West Caribbean Airways	WEST	Colombia		0
8O	YWZ	West Coast Air	COAST AIR	Canada		1
WS	WJA	WestJet	WESTJET	Canada		1
XP	CXP	Western	RUBY MOUNTAIN	United States	defunct	0
WA	WAL	Western Airlines	WESTERN	United States	defunct	0
CN	WWD	Westward Airways	WESTWARD	United States		1
WF	WIF	Widerøe	WIDEROE	Norway		1
IV	JET	Wind Jet	GHIBLI	Italy		1
1W	WON	Wings Air	WINGS ABADI	Indonesia	Subsidiary of Lion Air	1
8Z	WVL	Wizz Air Bulgaria	WIZZBUL	Bulgaria		1
W6	WZZ	Wizz Air	WIZZAIR	Hungary		1
WO	WOA	World Airways	WORLD	United States		1
WW	WOW	WOW air	WOW air	Iceland		1
8V	WRF	Wright Air Service	WRIGHT FLYER	United States		1
KW	WAN	Wataniya Airways	WATANIYA	Kuwait		1
3W	VNR	Wan Air	WANAIR	French Polynesia	defunct	0
WS	WEN	WestJet Encore	ENCORE	Canada		1
MF	CXA	Xiamen Airlines	XIAMEN AIR	China		1
SE	SEU	XL Airways France	STARWAY	France		1
XP	CXP	Xtra Airways	CASINO EXPRESS	United States		1
YL	LLM	Yamal Airlines	YAMAL	Russia		1
Y8	YZR	Yangtze River Express	YANGTZE RIVER	China		1
Y0	EMJ	Yellow Air Taxi/Friendship Airways		United States		1
IY	IYE	Yemenia	YEMENI	Yemen		1
4Y	UYA	Yute Air Alaska		United States		1
2N	UMK	Yuzhmashavia	YUZMASH	Ukraine		1
C4	IMX	Zimex Aviation	ZIMEX	Switzerland		1
Q3	MBN	Zambian Airways	ZAMBIANA	Zambia		1
3J	WZP	Zip	ZIPPER	Canada	ICAO Code and callsign no longer allocated	1
Z4	OOM	Zoom Airlines	ZOOM	Canada	defunct, ICAO Code and callsign no longer allocated	0